id,nama_wisata,kategori_wisata,kecamatan,desa,alamat,latitude,longitude,jam_operasional,tiket_masuk,toilet,mushola,tempat_makan,media_sosial,deskripsi,foto
1,Kebun Teh Nglinggo,Wisata Alam,Samigaluh,Pangeharjo,"Nglinggo Barat, Pagerharjo, Kec. Samigaluh, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta",-7.645952,110.14367,07.00 - 18.00,Rp5.000 - Rp10.000,Ada,Ada,Ada,kebuntehmisinglinggo,Kebun Teh Nglinggo merupakan destinasi wisata berupa perkebunan teh yang menyuguhkan panorama Perbukitan Menoreh dengan suasana sejuk dan asri.,Picture
2,Puncak Suroloyo,Wisata Alam,Borobudur,Giritengah,"Onggosoro, Giritengah, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah",-7.646305,110.181133,00.00 - 23.59,Rp6.500,Ada,Tidak Ada,Ada,puncaksuroloyo,Puncak Suroloyo merupakan destinasi wisata alam di Perbukitan Menoreh yang menawarkan pemandangan pegunungan dan lanskap alam dari ketinggian.,Picture
3,Puncak Widosari,Wisata Alam,Samigaluh,Ngargosari,"Tritis, Ngargosari, Kec. Samigaluh, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55673",-7.658313,110.148812,06.00 - 18.00,Rp2.000 - Rp10.000,Ada,Tidak Ada,Ada,puncakwidosari,"Puncak Widosari berada di Gunung Widosari. Sebuah objek wisata yang memberikan sudut lain keindahan Jogja, khususnya dari ketinggian. Ketinggian Puncak Widosari sekitar 1.000 mdpl, sehingga memberikan sensasi seakan selangkah lagi menuju awan. Lokasi Puncak Widosari berada di Kabupaten Kulon Progo.",Picture
4,Embung Tonogoro,Wisata Rekreasi,Kalibawang,Banjaroyo,"Tonogoro, Banjaroyo, Kec. Kalibawang, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55672",-7.658955,110.234361,08.00 - 18.00,Rp0,Ada,Tidak Ada,Ada,embung_tonogoro,Embung Tonogoro merupakan destinasi wisata berupa embung yang dikelilingi perbukitan dan menawarkan suasana pedesaan yang sejuk dan asri.,Picture
5,Dolan Deso,Wisata Rekreasi,Kalibawang,Banjarasri,"Jl. Boro-Dekso, Depok, Banjarasri, Kec. Kalibawang, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55672",-7.69825,110.222197,08.00 - 16.00,Rp20.000 - Rp500.000,Ada,Ada,Ada,dolandeso.id,"Dolan Deso merupakan destinasi wisata berbasis pedesaan yang menyediakan berbagai aktivitas seperti outbound, camping, rafting, dan kegiatan edukatif.",Picture
6,Rafting Sungai Progo,Wisata Rekreasi,Kalibawang,Banjararum,"Banjararum, Kalibawang, Kabupaten Kulon Progo, Sayangan, Banjararum, Kec. Kalibawang, Kulonprogo, Daerah Istimewa Yogyakarta 55672",-7.720264,110.230589,06.00 - 18.00,Rp100.000 - Rp200.000,Ada,Ada,Ada,kalibumiexperience,Rafting Sungai Progo merupakan destinasi wisata petualangan yang menawarkan aktivitas arung jeram menyusuri aliran Sungai Progo.,Picture
7,Puncak Kleco ,Wisata Alam,Samigaluh,Purwoharjo,"Duwet, Purwoharjo, Kec. Samigaluh, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55673",-7.712514,110.204506,00.00 - 23.59,Rp6.000,Ada,Ada,Ada,wisatapuncakkleco,"Puncak Kleco terletak di Desa Wisata Tinalah (Dewi Tinalah) atau tepatnya berada di Duwet, Purwoharjo, Kecamatan Samigaluh, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta. Setiap harinya, puncak ini buka penuh selama 24 jam, dan paling ramai yakni saat sunrise mulai dari pukul 05.00 – 08.00 WIB.",Picture
8,Kedung Pedhut,Wisata Alam,Girimulyo,Jatimulyo,"Jl. Kutogiri Gunung Kelir, Kembang, Jatimulyo, Kec. Girimulyo, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55674",-7.770009,110.121064,08.00 - 15.30,Rp11.000,Ada,Ada,Ada,kedungpedut,Kedung Pedut merupakan destinasi wisata air yang memiliki air terjun dan kolam alami dengan karakteristik air berwarna putih hingga tosca.,Picture
9,Desa Wisata Widosari,Wisata Alam,Samigaluh,Ngargosari,"Ngaliyan, Ngargosari, Kec. Samigaluh, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55673",-7.661514,110.154268,00.00 - 23.59,Rp0,Ada,Ada,Ada,desawisatawidosari,"Desa Wisata Widosari merupakan destinasi wisata berbasis masyarakat yang memadukan potensi alam, budaya, pertanian, kuliner, dan kehidupan pedesaan.",Picture
10,Pantai Trisik,Wisata Alam,Galur,Banaran,"Dusun Trisik, Desa Banaran, Kecamatan Galur, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta",-7.967755,110.18282,00.00 - 23.59,Rp2.000 - Rp30.000,Ada,Ada,Ada,pantai_trisik,"Pantai Trisik merupakan salah satu pantai di pesisir selatan Kabupaten Kulon Progo yang berada di Kecamatan Galur. Pantai ini memiliki ciri khas berupa pasir berwarna hitam dengan garis pantai yang landai. Kawasan ini juga dikenal dengan aktivitas nelayan dan keberadaan tempat pelelangan ikan, sehingga wisatawan dapat menikmati pemandangan pantai sekaligus suasana kehidupan masyarakat pesisir.",Picture
11,Pantai Glagah,Wisata Alam,Temon,Glagah,"Desa Glagah, Kecamatan Temon, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta",-7.911985,110.064708,00.00 - 23.59,Rp10.000 - Rp30.000,Ada,Ada,Ada,lagunabaratpantaiglagah,"Pantai Glagah merupakan salah satu destinasi wisata unggulan di Kulon Progo yang terletak di Kecamatan Temon. Daya tarik utamanya adalah laguna air tenang serta deretan tetrapod yang berfungsi sebagai pemecah ombak. Pengunjung dapat menikmati pemandangan pantai, memancing, bermain wahana air, atau menikmati suasana matahari terbenam.",Picture
